I (3198) APP: PIN 13, HIGH
I (3200) APP: PIN 13, HIGH
I (3201) APP: PIN 13, HIGH
I (3202) APP: PIN 13, HIGH
I (3203) APP: PIN 13, HIGH
I (3204) APP: PIN 13, HIGH
I (3204) APP: PIN 13, HIGH
I (3205) APP: PIN 13, HIGH
I (3205) APP: PIN 13, HIGH
I (3206) APP: PIN 13, HIGH
I (3207) APP: PIN 13, HIGH
I (3208) APP: PIN 13, HIGH
I (3209) APP: PIN 13, HIGH
I (3210) APP: PIN 13, HIGH
I (3210) APP: PIN 13, HIGH
I (3211) APP: PIN 13, HIGH
I (3211) APP: PIN 13, HIGH
I (3212) APP: PIN 13, HIGH
I (3212) APP: PIN 13, HIGH
I (3214) APP: PIN 13, HIGH
I (3214) APP: PIN 13, HIGH
I (3215) APP: PIN 13, HIGH
I (3215) APP: PIN 13, HIGH
I (3216) APP: PIN 13, HIGH
I (3216) APP: PIN 13, HIGH
I (3217) APP: PIN 13, HIGH
I (3218) APP: PIN 13, HIGH
I (3220) APP: PIN 13, HIGH
I (3220) APP: PIN 13, HIGH
I (3221) APP: PIN 13, HIGH
I (3222) APP: PIN 13, HIGH
I (3222) APP: PIN 13, HIGH
I (3224) APP: PIN 13, HIGH
I (3227) APP: PIN 13, HIGH
I (3228) APP: PIN 13, HIGH
I (3229) APP: PIN 13, HIGH
I (3230) APP: PIN 13, HIGH
I (3231) APP: PIN 13, HIGH
I (3232) APP: PIN 13, HIGH
I (3233) APP: PIN 13, HIGH
I (3235) APP: PIN 13, HIGH
I (3236) APP: PIN 13, HIGH
I (3237) APP: PIN 13, HIGH
I (3240) APP: PIN 13, HIGH
I (3241) APP: PIN 13, HIGH
I (3241) APP: PIN 13, HIGH
I (3242) APP: PIN 13, HIGH
I (3244) APP: PIN 13, HIGH
I (3246) APP: PIN 13, HIGH
I (3247) APP: PIN 13, HIGH
I (3248) APP: PIN 13, HIGH
I (3249) APP: PIN 13, HIGH
I (3250) APP: PIN 13, HIGH
I (3250) APP: PIN 13, HIGH
I (3253) APP: PIN 13, HIGH
I (3254) APP: PIN 13, HIGH
I (3255) APP: PIN 13, HIGH
I (3257) APP: PIN 13, HIGH
I (3258) APP: PIN 13, HIGH
I (3259) APP: PIN 13, HIGH
I (3259) APP: PIN 13, HIGH
I (3261) APP: PIN 13, HIGH
I (3262) APP: PIN 13, HIGH
I (3262) APP: PIN 13, HIGH
I (3264) APP: PIN 13, HIGH
I (3265) APP: PIN 13, HIGH
I (3266) APP: PIN 13, HIGH
I (3267) APP: PIN 13, HIGH
I (3268) APP: PIN 13, HIGH
I (3269) APP: PIN 13, HIGH
I (3270) APP: PIN 13, HIGH
I (3270) APP: PIN 13, HIGH
I (3270) APP: PIN 13, HIGH
I (3272) APP: PIN 13, HIGH
I (3274) APP: PIN 13, HIGH
I (3275) APP: PIN 13, HIGH
I (3276) APP: PIN 13, HIGH
I (3277) APP: PIN 13, HIGH
I (3278) APP: PIN 13, HIGH
I (3281) APP: PIN 13, HIGH
I (3282) APP: PIN 13, HIGH
I (3284) APP: PIN 13, HIGH
I (3286) APP: PIN 13, HIGH
I (3288) APP: PIN 13, HIGH
I (3290) APP: PIN 13, HIGH
I (3292) APP: PIN 13, HIGH
I (3292) APP: PIN 13, HIGH
I (3295) APP: PIN 13, HIGH
I (3296) APP: PIN 13, HIGH
I (3297) APP: PIN 13, HIGH
I (3298) APP: PIN 13, HIGH
I (3299) APP: PIN 13, HIGH
I (3299) APP: PIN 13, HIGH
I (3300) APP: PIN 13, HIGH
I (3302) APP: PIN 13, HIGH
I (3303) APP: PIN 13, HIGH
